Requests,concurrent_user,throughput(tokens/second),latency(ms),TTFT(ms),latency_per_token(ms/token),Total Throughput
1,10,113.3339,2473.4645,214.647,8.8234,1133.339
2,110,67.01186364,3763.555545,261.5029545,14.93873636,7371.305
3,210,49.08955714,5118.12729,341.7681,20.40940476,10308.807
4,310,18.35795484,13243.08708,466.7382355,54.53521613,5690.966
5,410,17.11847317,14358.17602,506.5452951,58.43803171,7018.574
6,510,16.40778824,15005.52966,466.1639098,61.08060588,8367.972
7,610,16.01401311,15570.35286,685.2483197,62.58579672,9768.548
8,710,15.95836056,15834.14495,905.1874676,62.72606761,11330.436
9,810,15.26929753,16365.40028,845.2888259,65.60351358,12368.131
10,910,14.75481209,16907.29579,852.2184934,68.0089956,13426.879
11,1010,14.12333861,17738.87177,952.2212149,70.96542772,14264.572
12,1110,13.54767297,18510.43981,1076.249499,74.09704775,15037.917
13,1210,12.9736281,19479.07652,1241.00004,77.42719917,15698.09
14,1310,12.2492458,20351.89479,1143.478647,82.07081756,16046.512
15,1410,11.82910993,21028.62626,1170.301026,84.84766028,16679.045
16,1510,10.15048013,24551.74826,1346.92174,99.3300755,15327.225
17,1610,10.2912646,24167.10901,1282.908413,97.49748075,16568.936
18,1710,9.626800585,25980.08278,1316.838298,104.1724175,16461.829
19,1810,9.38141105,26616.82569,1508.986951,107.0766541,16980.354
20,1910,9.436132461,26552.26426,1474.755882,106.2631372,18023.013
21,2010,8.282126368,30194.80553,1549.833192,121.6590095,16647.074
22,2110,8.50709763,28922.0926,1388.431222,118.2889336,17949.976
23,2210,7.786269683,31956.3451,1533.977954,128.9960394,17207.656
24,2310,8.02132987,31211.92312,1558.013599,125.0212355,18529.272
25,2410,7.472045643,33250.36134,1738.446929,134.469183,18007.63
26,2510,7.123723506,34754.38412,1504.665618,140.9568629,17880.546
27,2610,7.13341341,35298.56198,1988.944956,140.7457138,18618.209
28,2710,6.722453875,36566.62848,1521.601882,149.4882731,18217.85
29,2810,6.515703559,37974.34514,1599.633662,153.7895203,18309.127
30,2910,6.564748454,37770.76438,1907.695727,153.1932784,19103.418
31,3010,6.259169767,39765.43633,1828.700596,160.7333847,18840.101
32,3110,5.969859486,41379.88837,1545.778025,168.217346,18566.263
33,3210,5.876217445,41914.49621,1769.397075,170.9525511,18862.658
34,3310,5.851653474,41882.54911,1576.526927,171.5575145,19368.973
35,3410,5.636998827,43351.56749,1578.137952,178.4515457,19222.166
36,3510,5.426523647,45290.20436,1891.224832,185.2725248,19047.098
37,3610,5.395397507,45170.30786,1516.215825,186.2507798,19477.385
38,3660,5.302139071,46156.79335,1511.277299,189.2030956,19405.829
39,3685,5.234967978,46729.66338,1434.796623,191.6673479,19290.857
40,3698,5.242844511,47089.48606,1500.870727,191.5260349,19388.039
41,3704,5.338234611,45306.38562,1535.484412,188.2844852,19772.821
42,3707,5.358203129,45618.32431,1582.594828,187.6437718,19862.859
43,3709,5.286997034,46248.25906,1592.299765,189.9370018,19609.472
44,3710,5.26170593,47233.99805,2273.332796,190.8353302,19520.929
